repository_name,language
.github,
ads-claude-plugin,Python
aioshumway,Python
android-auth,Kotlin
android-sdk,HTML
android-store-service,Python
annoy,C++
annoy-java,Java
apollo,Java
apollo-elide,Java
apollo-metrics,
apps-tutorial,
argo-cd,
argo-rollouts,
async-datastore-client,Java
async-google-pubsub-client,Java
backup-utils,Shell
basic-pitch,Python
basic-pitch-ts,TypeScript
batty,Python
bazel,
bazel-tools,Java
beam,Java
big-data-rosetta-code,Scala
bigtable-autoscaler,Java
boilerplate-app,
bucket-runner,JavaScript
cartography,Python
cassandra-extra,Java
cassandra-medusa,Python
cassandra-opstools,Java
cassandra-reaper,
causify,
certcheck,Python
chartify,Python
code-of-conduct,
collectd,C
comet,Python
comet-common,Python
comet-core,Python
completable-futures,Java
condor,Java
confidence,Python
confidence-resolver,Rust
confidence-sdk-android,Kotlin
confidence-sdk-demos,TypeScript
confidence-sdk-dotnet,C#
confidence-sdk-flutter,Dart
confidence-sdk-go,Go
confidence-sdk-java,Java
confidence-sdk-js,TypeScript
confidence-sdk-python,Python
confidence-sdk-rust,Rust
confidence-sdk-swift,Swift
container-agent,Python
conversion-api-tag-template,Smarty
cookiecutter-golang,Go
coordinator,HTML
crtauth,Python
crtauth-java,Java
